CID,Mean.temp,Date.hatch,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.eclose,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Notes
001,30,6/19/2023,6/21/2023,,6/23/2023,4.00,10.32,,6/25/2023,6.00,34.06,,6/26/2023,7.00,153.63,yes,,7/7/2023,18.00,108.65,female,no,,shriveled wings
002,26,6/19/2023,6/21/2023,,6/23/2023,4.00,7.9,,6/26/2023,7.00,20.76,,7/3/2023,14.00,141.29,yes,,,,,,,7/10/2023,died as pupa
003,26,6/19/2023,6/22/2023,,6/24/2023,5.00,9.93,,6/27/2023,8.00,32.4,,7/4/2023,15.00,110.81,yes,,7/12/2023,23.00,49.07,female,no,,deformed wings
004,26,6/19/2023,6/22/2023,,6/24/2023,5.00,8.44,,6/27/2023,8.00,29.43,,7/2/23,13.00,180.73,yes,,,,,,,7/14/2023,died as pupa
005,26,6/19/2023,6/22/2023,,6/24/2023,5.00,10.27,,6/26/2023,7.00,31.25,,6/30/2023,11.00,171.86,yes,,7/9/2023,20.00,46.58,unk,no,,stuck in pupal shell
006,26,6/19/2023,6/22/2023,,6/24/2023,5.00,13.17,,6/27/2023,8.00,99.57,,7/1/2023,12.00,139.54,no,,,,,,,,INT
007,26,6/19/2023,6/22/2023,,6/25/2023,6.00,9.34,,6/27/2023,8.00,30.52,,7/2/23,13.00,174.27,yes,,7/9/2023,20.00,93.87,female,yes,,
008,26,6/19/2023,6/22/2023,,6/24/2023,5.00,10.9,,6/26/2023,7.00,39.96,,6/30/2023,11.00,172.39,yes,,7/7/2023,18.00,90.71,male,yes,,
009,26,6/19/2023,6/22/2023,,6/25/2023,6.00,12.23,,6/27/2023,8.00,32.63,,7/3/2023,14.00,163.72,no,,,,,,,,INT
010,26,6/19/2023,6/22/2023,,6/25/2023,6.00,17.32,,6/27/2023,8.00,40.8,,7/1/2023,12.00,163.87,yes,,,,,,,7/11/2023,died as pupa
011,26,6/20/2023,6/22/2023,,6/24/2023,4.00,9.73,,6/27/2023,7.00,54.98,,7/1/2023,11.00,173.9,yes,,,,,,,7/11,died as pupa
012,26,6/20/2023,6/22/2023,,,,,,,,,,,,,,,,,,,,6/26/2023,
013,30,6/19/2023,6/22/2023,,6/24/2023,5.00,10.41,,6/26/2023,7.00,33.48,,6/30/2023,11.00,133.66,yes,,7/7/2023,18.00,56.59,male,yes,,
014,30,6/19/2023,6/22/2023,,6/24/2023,5.00,13.76,,6/26/2023,7.00,43.11,,7/1/2023,12.00,127.7,no,,,,,,,,INT
