CID,Treatment,Date.hatch,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.adult,Date.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Time.death,DaysHtoP,DaysPtoE
002,26,6/19/2023,6/21/2023,,6/23/2023,4,7.9,,6/26/2023,7.00,20.76,,7/3/2023,14.00,141.29,Yes,,,,,,,7/10/2023,21.00,14,
003,26,6/19/2023,6/22/2023,,6/24/2023,5,9.93,,6/27/2023,8.00,32.4,,7/4/2023,15.00,110.81,Yes,,7/12,23.00,49.07,female,No,,,15,8
004,26,6/19/2023,6/22/2023,,6/24/2023,5,8.44,,6/27/2023,8.00,29.43,,7/2/23,13.00,180.73,Yes,,,,,,,7/14/2023,25.00,13,
005,26,6/19/2023,6/22/2023,,6/24/2023,5,10.27,,6/26/2023,7.00,31.25,,6/30/2023,11.00,171.86,Yes,,7/9/2023,20.00,46.58,unk,No,,,11,9
006,26,6/19/2023,6/22/2023,,6/24,5,13.17,,6/27/2023,8.00,99.57,,7/1/2023,12.00,139.54,No,,,,,,,,,12,
007,26,6/19/2023,6/22/2023,,6/25/2023,6,9.34,,6/27/2023,8.00,30.52,,7/2/23,13.00,174.27,Yes,,7/9/2023,20.00,93.87,female,Yes,,,13,7
008,26,6/19/2023,6/22/2023,,6/24/2023,5,10.9,,6/26/2023,7.00,39.96,,6/30/2023,11.00,172.39,Yes,,7/7/2023,18.00,90.71,male,Yes,,,11,7
009,26,6/19/2023,6/22/2023,,6/25/2023,6,12.23,,6/27/2023,8.00,32.63,,7/3/2023,14.00,163.72,No,,,,,,,,,14,
010,26,6/19/2023,6/22/2023,,6/25/2023,6,17.32,,6/27/2023,8.00,40.8,,7/1/2023,12.00,163.87,Yes,,,,,,,7/11/2023,22.00,12,
011,26,6/20/2023,6/22/2023,,6/24/2023,4,9.73,,6/27/2023,7.00,54.98,,7/1/2023,11.00,173.9,Yes,,,,,,,7/11,21.00,11,
057,26,6/20/2023,6/23/2023,,6/25/2023,5,11.11,,6/27/2023,7.00,38.27,,7/1/2023,11.00,147.66,Yes,,,,,,,7/11/2023,21.00,11,
058,26,6/20/2023,6/23/2023,,6/25/2023,5,9.47,,6/28/2023,8.00,39.72,,7/3/2023,13.00,186.96,No,,,,,,,7/3/2023,13.00,13,
059,26,6/20/2023,6/23/2023,,6/26/2023,6,14.48,,6/28/2023,8.00,30.37,,7/3/2023,13.00,151.17,Yes,,7/11,21.00,59.78,male,No,,,13,8
061,26,6/20/2023,6/23/2023,,6/26/2023,6,14.98,,6/29/2023,9.00,66.86,,7/3/2023,13.00,203.43,Yes,,7/11,21.00,124.69,male,No,,,13,8
062,26,6/20/2023,6/23/2023,,6/26/2023,6,15.22,,6/28/2023,8.00,40.25,,7/3/2023,13.00,178.55,No,,,,,,,7/3/2023,13.00,13,
063,26,6/20/2023,6/23/2023,,6/26/2023,6,10.67,,6/29/2023,9.00,39.71,,7/4/2023,14.00,197.16,Yes,,7/11,21.00,94.76,male,Yes,,,14,7
064,26,6/20/2023,6/23/2023,,6/25/2023,5,7.62,,6/28/2023,8.00,48.44,,7/3/2023,13.00,154.78,Yes,,,,,,,7/11/2023,21.00,13,
