"CID","SIB","Mean.Temp","Temp.Var","UniID","Date.hatch","Surv.4th","Date.4th","Time.4th","Mass.4th","Surv.5th","Date.5th","Time.5th","Mass.5th","Surv.pupa","Date.pupa","Time.pupa","Mass.pupa","PupateOk","Surv.eclose","Date.eclose","Time.eclose","EcloseOk","Sex","Mass.adult","Date.dead","Time.death","Stage.final","Notes"
1,"15",26,5,"1.15.26.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
2,"15",26,5,"2.15.26.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
3,"12",26,5,"3.12.26.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
4,"15",26,5,"4.15.26.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
5,"15",26,5,"5.15.26.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
6,"8",26,5,"6.8.26.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/10",1,"1",""
7,"8",26,5,"7.8.26.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/10",1,"1",""
10,"15",30,5,"10.15.30.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
11,"15",30,5,"11.15.30.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
12,"8",30,5,"12.8.30.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/10",1,"1",""
13,"8",30,5,"13.8.30.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/10",1,"1",""
14,"8",30,5,"14.8.30.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/10",1,"1",""
15,"8",30,5,"15.8.30.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/10",1,"1",""
16,"12",30,5,"16.12.30.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
17,"12",30,5,"17.12.30.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
18,"15",30,5,"18.15.30.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/10",1,"1",""
