CID,SIB,Treatment,UniID,Date.hatch,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.Pupa,Time.pupa,Mass.pupa,PupateOK,Surv.eclose,Date.eclose,EcloseOk,Sex,Mass.adult,Date.dead,Time.death,Stage.final,Notes
1,4,Aug,1.4.Aug,6/11,,6/17,6,13.6,,6/19,8,74.3,,6/24,13,269.3,N,,,,,,6/24,13,pupal int,
2,4,Apr,2.4.Apr,6/11,,6/25,14,13.3,,7/1,20,53.6,,7/11,30,267.1,N,,,,,,7/11,30,pupa int,
3,4,Apr,3.4.Apr,6/11,,6/25,14,15.7,,7/1,20,53,,7/11,30,264.4,N,,,,,,7/11,30,pupa int,
4,4,Aug,4.4.Aug,6/11,,6/17,6,13,,6/20,9,148,,6/23,12,162.8,N,,,,,,6/23,12,pupal int,missed 5th?
5,4,Apr,5.4.Apr,6/11,,,,,,,,,,,,,,,,,,,6/16,5,1,
6,4,Aug,6.4.Aug,6/11,,6/17,6,10.2,,6/19,8,78.3,,6/23,12,226.4,Y,,,,,,7/2,21,pupa,
7,4,Apr,7.4.Apr,6/11,,6/26,15,17.9,,7/3,22,69.8,,7/12,31,275.1,N,,,,,,7/13,32,pupa int,
8,4,Aug,8.4.Aug,6/11,,6/17,6,12.6,,6/19,8,61.7,,6/23,12,195.3,N,, ,,,,6/23,12,pupal int,
9,4,Apr,9.4.Apr,6/11,,7/4,23,13.3,,7/10,29,55.2,,7/20,,248.38,Y,,,,,,,,,
10,4,Aug,10.4.Aug,6/11,,6/18,7,8.3,,,,,,,,,,,,,,,6/21,10,4,
11,4,Apr,11.4.Apr,6/11,,,,,,,,,,,,,,,,,,,6/14,3,1,
12,4,Aug,12.4.Aug,6/11,,6/18,7,24.3,,6/20,9,134.9,,6/24,13,266.6,Y,,7/1,Y,M,125.1,,,adult,missed 5th?
13,4,Apr,13.4.Apr,6/11,,6/25,14,12,,7/3,22,82.4,,7/12,31,269.3,Y,,,,,,,,,
14,4,Aug,14.4.Aug,6/11,,6/17,6,9.8,,6/19,8,53.6,,6/23,12,209.2,Y,,,,,,7/2,21,pupa,
15,4,Apr,15.4.Apr,6/11,,,,,,,,,,,,,,,,,,,6/13,2,1,
16,4,Aug,16.4.Aug,6/11,,6/18,7,14.5,,6/20,9,63.3,,6/25,14,265.8,N,,,,,,6/25,14,pupal int,
17,4,Apr,17.4.Apr,6/11,,6/25,14,13.5,,7/1,20,44.6,,,,,,,,,,,,,,
18,4,Aug,18.4.Aug,6/11,,6/18,7,20.1,,6/19,8,39.6,,6/23,12,177.7,Y,,,,,,7/2,21,pupa,
