STATION,NAME,DATE,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TmeanC
USW00013722,"RALEIGH AIRPORT, NC US",1/1/2014,0,,0,0,38,51,29,3.333333333
USW00013722,"RALEIGH AIRPORT, NC US",1/2/2014,0.33,,0,0,42,49,37,5.555555556
USW00013722,"RALEIGH AIRPORT, NC US",1/3/2014,0,,0,0,34,43,22,1.111111111
USW00013722,"RALEIGH AIRPORT, NC US",1/4/2014,0,,0,0,27,38,19,-2.777777778
USW00013722,"RALEIGH AIRPORT, NC US",1/5/2014,0,,0,0,44,62,37,6.666666667
USW00013722,"RALEIGH AIRPORT, NC US",1/6/2014,0.13,,0,0,51,61,16,10.55555556
USW00013722,"RALEIGH AIRPORT, NC US",1/7/2014,0,,0,0,18,25,9,-7.777777778
USW00013722,"RALEIGH AIRPORT, NC US",1/8/2014,0,,0,0,25,43,15,-3.888888889
USW00013722,"RALEIGH AIRPORT, NC US",1/9/2014,0,,0,0,36,54,25,2.222222222
USW00013722,"RALEIGH AIRPORT, NC US",1/10/2014,0.57,,0,0,42,45,39,5.555555556
USW00013722,"RALEIGH AIRPORT, NC US",1/11/2014,0.28,,0,0,54,69,45,12.22222222
USW00013722,"RALEIGH AIRPORT, NC US",1/12/2014,0,,0,0,52,58,39,11.11111111
USW00013722,"RALEIGH AIRPORT, NC US",1/13/2014,0,,0,0,46,62,33,7.777777778
USW00013722,"RALEIGH AIRPORT, NC US",1/14/2014,0.3,,0,0,51,54,38,10.55555556
USW00013722,"RALEIGH AIRPORT, NC US",1/15/2014,0,,0,0,44,59,33,6.666666667
USW00013722,"RALEIGH AIRPORT, NC US",1/16/2014,0.07,,0,0,39,44,32,3.888888889
USW00013722,"RALEIGH AIRPORT, NC US",1/17/2014,0,,0,0,39,56,29,3.888888889
USW00013722,"RALEIGH AIRPORT, NC US",1/18/2014,0,,0,0,38,47,27,3.333333333
USW00013722,"RALEIGH AIRPORT, NC US",1/19/2014,0,,0,0,38,54,30,3.333333333
USW00013722,"RALEIGH AIRPORT, NC US",1/20/2014,0,,0,0,43,64,30,6.111111111
USW00013722,"RALEIGH AIRPORT, NC US",1/21/2014,0.1,,0.5,0,42,51,26,5.555555556
USW00013722,"RALEIGH AIRPORT, NC US",1/22/2014,0,,0,0,26,30,18,-3.333333333
USW00013722,"RALEIGH AIRPORT, NC US",1/23/2014,0,,0,0,25,38,16,-3.888888889
USW00013722,"RALEIGH AIRPORT, NC US",1/24/2014,0,,0,0,20,27,11,-6.666666667
USW00013722,"RALEIGH AIRPORT, NC US",1/25/2014,0,,0,0,26,40,18,-3.333333333
USW00013722,"RALEIGH AIRPORT, NC US",1/26/2014,0,,0,0,37,52,22,2.777777778
USW00013722,"RALEIGH AIRPORT, NC US",1/27/2014,0,,0,0,51,65,33,10.55555556
