Date,Column,Temperature,Gradient_type
5/30/2023,1,43.1,warm
5/30/2023,2,41.7,warm
5/30/2023,3,39,warm
5/30/2023,4,36.7,warm
5/30/2023,5,33.9,warm
5/30/2023,6,31,warm
5/30/2023,7,28.3,warm
5/30/2023,8,25.8,warm
5/30/2023,9,23.2,warm
5/30/2023,10,20.7,warm
5/30/2023,11,18,warm
5/30/2023,12,14.9,warm
5/31/2023,1,42.6,warm
5/31/2023,2,41.5,warm
5/31/2023,3,39,warm
5/31/2023,4,36.5,warm
5/31/2023,5,34.1,warm
5/31/2023,6,31.9,warm
5/31/2023,7,28.3,warm
5/31/2023,8,25.8,warm
5/31/2023,9,23.2,warm
5/31/2023,10,20.5,warm
5/31/2023,11,18.2,warm
5/31/2023,12,15.8,warm
6/1/2023,1,42.2,warm
6/1/2023,2,41.3,warm
6/1/2023,3,39,warm
6/1/2023,4,36.5,warm
6/1/2023,5,33.2,warm
6/1/2023,6,30.9,warm
6/1/2023,7,28.4,warm
6/1/2023,8,25.7,warm
6/1/2023,9,22.6,warm
6/1/2023,10,20.5,warm
6/1/2023,11,17.8,warm
6/1/2023,12,16.5,warm
6/2/2023,1,42,warm
6/2/2023,2,41.1,warm
6/2/2023,3,38.7,warm
6/2/2023,4,36.3,warm
6/2/2023,5,33.5,warm
6/2/2023,6,31.3,warm
6/2/2023,7,28.3,warm
6/2/2023,8,26,warm
6/2/2023,9,23.2,warm
6/2/2023,10,20.8,warm
6/2/2023,11,18.2,warm
6/2/2023,12,15.5,warm
6/19/2023,1,34.5,cool
6/19/2023,2,33.6,cool
6/19/2023,3,31.8,cool
6/19/2023,4,30.1,cool
6/19/2023,5,27.7,cool
6/19/2023,6,25.7,cool
6/19/2023,7,23.8,cool
6/19/2023,8,21.6,cool
6/19/2023,9,19.9,cool
6/19/2023,10,17.9,cool
6/19/2023,11,15.9,cool
6/19/2023,12,13.8,cool
6/20/2023,1,34.5,cool
6/20/2023,2,33.2,cool
6/20/2023,3,31.1,cool
6/20/2023,4,29.4,cool
6/20/2023,5,27.6,cool
6/20/2023,6,25.5,cool
6/20/2023,7,23.7,cool
6/20/2023,8,21.6,cool
6/20/2023,9,19.7,cool
6/20/2023,10,17.5,cool
6/20/2023,11,15.2,cool
6/20/2023,12,13.4,cool
6/21/2023,1,34.4,cool
6/21/2023,2,33.6,cool
6/21/2023,3,31.7,cool
6/21/2023,4,29.8,cool
6/21/2023,5,28,cool
6/21/2023,6,25.4,cool
6/21/2023,7,23.5,cool
6/21/2023,8,21.2,cool
6/21/2023,9,19.5,cool
6/21/2023,10,17.5,cool
6/21/2023,11,15.6,cool
6/21/2023,12,13.2,cool
6/22/2023,1,34.7,cool
6/22/2023,2,33.6,cool
6/22/2023,3,31.9,cool
6/22/2023,4,30,cool
6/22/2023,5,28.1,cool
6/22/2023,6,26.1,cool
6/22/2023,7,23.3,cool
6/22/2023,8,21.2,cool
6/22/2023,9,19.2,cool
6/22/2023,10,17.3,cool
6/22/2023,11,15.2,cool
6/22/2023,12,12.7,cool
6/23/2023,1,34.4,cool
6/23/2023,2,33.2,cool
6/23/2023,3,31.4,cool
6/23/2023,4,29.6,cool
6/23/2023,5,27.7,cool
6/23/2023,6,25.5,cool
6/23/2023,7,23.4,cool
6/23/2023,8,21.5,cool
6/23/2023,9,19.5,cool
6/23/2023,10,17.7,cool
6/23/2023,11,15.2,cool
6/23/2023,12,13.2,cool
