ID,Row,Column,Collection_date,Hatch_date,Hours_to_hatch,Hours_calculated,Days_to_hatch,Avg_temp
A1,A,1,5/30/2023 13:00,,,,,42.48
B1,B,1,5/30/2023 13:00,,,,,42.48
C1,C,1,5/30/2023 13:00,,,,,42.48
D1,D,1,5/30/2023 13:00,,,,,42.48
E1,E,1,5/30/2023 13:00,,,,,42.48
F1,F,1,5/30/2023 13:00,,,,,42.48
G1,G,1,5/30/2023 13:00,,,,,42.48
H1,H,1,5/30/2023 13:00,,,,,42.48
A2,A,2,5/30/2023 13:00,,,,,41.4
B2,B,2,5/30/2023 13:00,,,,,41.4
C2,C,2,5/30/2023 13:00,,,,,41.4
D2,D,2,5/30/2023 13:00,,,,,41.4
E2,E,2,5/30/2023 13:00,,,,,41.4
F2,F,2,5/30/2023 13:00,,,,,41.4
G2,G,2,5/30/2023 13:00,,,,,41.4
H2,H,2,5/30/2023 13:00,,,,,41.4
A3,A,3,5/30/2023 13:00,,,,,38.93
B3,B,3,5/30/2023 13:00,,,,,38.93
C3,C,3,5/30/2023 13:00,,,,,38.93
D3,D,3,5/30/2023 13:00,,,,,38.93
E3,E,3,5/30/2023 13:00,,,,,38.93
F3,F,3,5/30/2023 13:00,,,,,38.93
G3,G,3,5/30/2023 13:00,,,,,38.93
H3,H,3,5/30/2023 13:00,,,,,38.93
A4,A,4,5/30/2023 13:00,,,,,36.5
B4,B,4,5/30/2023 13:00,,,,,36.5
C4,C,4,5/30/2023 13:00,,,,,36.5
D4,D,4,5/30/2023 13:00,,,,,36.5
E4,E,4,5/30/2023 13:00,,,,,36.5
F4,F,4,5/30/2023 13:00,,,,,36.5
G4,G,4,5/30/2023 13:00,,,,,36.5
H4,H,4,5/30/2023 13:00,,,,,36.5
A5,A,5,5/30/2023 13:00,,,,,33.68
B5,B,5,5/30/2023 13:00,,,,,33.68
C5,C,5,5/30/2023 13:00,,,,,33.68
D5,D,5,5/30/2023 13:00,,,,,33.68
E5,E,5,5/30/2023 13:00,,,,,33.68
F5,F,5,5/30/2023 13:00,,,,,33.68
G5,G,5,5/30/2023 13:00,,,,,33.68
H5,H,5,5/30/2023 13:00,,,,,33.68
A6,A,6,5/30/2023 13:00,,,,,31.28
B6,B,6,5/30/2023 13:00,,,,,31.28
C6,C,6,5/30/2023 13:00,,,,,31.28
D6,D,6,5/30/2023 13:00,,,,,31.28
E6,E,6,5/30/2023 13:00,,,,,31.28
F6,F,6,5/30/2023 13:00,,,,,31.28
G6,G,6,5/30/2023 13:00,,,,,31.28
H6,H,6,5/30/2023 13:00,,,,,31.28
A7,A,7,5/30/2023 13:00,,,,,28.33
B7,B,7,5/30/2023 13:00,,,,,28.33
C7,C,7,5/30/2023 13:00,,,,,28.33
D7,D,7,5/30/2023 13:00,,,,,28.33
E7,E,7,5/30/2023 13:00,,,,,28.33
F7,F,7,5/30/2023 13:00,,,,,28.33
G7,G,7,5/30/2023 13:00,6/1/2023 8:24 AM,43:24:00,43.40,1.81,28.33
H7,H,7,5/30/2023 13:00,,,,,28.33
A8,A,8,5/30/2023 13:00,,,,,25.83
B8,B,8,5/30/2023 13:00,,,,,25.83
C8,C,8,5/30/2023 13:00,6/1/2023 15:15,50:15:00,50.25,2.09,25.83
D8,D,8,5/30/2023 13:00,6/2/2023 12:39,71:39:00,,,25.83
E8,E,8,5/30/2023 13:00,,,,,25.83
F8,F,8,5/30/2023 13:00,,,,,25.83
G8,G,8,5/30/2023 13:00,,,,,25.83
H8,H,8,5/30/2023 13:00,,,,,25.83
A9,A,9,5/30/2023 13:00,6/2/2023 10:00,69:00:00,69.00,2.88,23.05
B9,B,9,5/30/2023 13:00,,,,,23.05
C9,C,9,5/30/2023 13:00,,,,,23.05
D9,D,9,5/30/2023 13:00,6/3/2023 11:24,94:24:00,94.40,3.93,23.05
E9,E,9,5/30/2023 13:00,,,,,23.05
F9,F,9,5/30/2023 13:00,6/2/2023 10:00,69:00:00,69.00,2.88,23.05
G9,G,9,5/30/2023 13:00,,,,,23.05
H9,H,9,5/30/2023 13:00,,,,,23.05
A10,A,10,5/30/2023 13:00,6/3/2023 4:35,87:35:00,87.58,3.65,20.63
B10,B,10,5/30/2023 13:00,,,,,20.63
C10,C,10,5/30/2023 13:00,,,,,20.63
D10,D,10,5/30/2023 13:00,,,,,20.63
E10,E,10,5/30/2023 13:00,6/4/2023 5:51,112:51:00,112.85,4.70,20.63
F10,F,10,5/30/2023 13:00,6/3/2023 14:57,97:57:00,97.95,4.08,20.63
G10,G,10,5/30/2023 13:00,,,,,20.63
H10,H,10,5/30/2023 13:00,,,,,20.63
A11,A,11,5/30/2023 13:00,,,,,18.05
B11,B,11,5/30/2023 13:00,6/4/2023 11:25,118:25:00,118.42,4.93,18.05
C11,C,11,5/30/2023 13:00,,,,,18.05
D11,D,11,5/30/2023 13:00,6/4/2023 8:08,115:08:00,115.13,4.80,18.05
E11,E,11,5/30/2023 13:00,6/4/2023 0:03,107:03:00,107.05,4.46,18.05
F11,F,11,5/30/2023 13:00,6/5/2023 19:16,150:16:00,150.27,6.26,18.05
G11,G,11,5/30/2023 13:00,6/5/2023 17:29,148:29:00,148.48,6.19,18.05
H11,H,11,5/30/2023 13:00,,,,,18.05
A12,A,12,5/30/2023 13:00,,,,,15.68
B12,B,12,5/30/2023 13:00,,,,,15.68
C12,C,12,5/30/2023 13:00,,,,,15.68
D12,D,12,5/30/2023 13:00,,,,,15.68
E12,E,12,5/30/2023 13:00,,,,,15.68
F12,F,12,5/30/2023 13:00,6/6/2023 7:54,162:54:00,162.90,6.79,15.68
G12,G,12,5/30/2023 13:00,,,,,15.68
H12,H,12,5/30/2023 13:00,,,,,15.68
AA1,A,1,6/19/2023 15:00,,,,,34.5
BB1,B,1,6/19/2023 15:00,,,,,34.5
CC1,C,1,6/19/2023 15:00,,,,,34.5
DD1,D,1,6/19/2023 15:00,,,,,34.5
EE1,E,1,6/19/2023 15:00,,,,,34.5
FF1,F,1,6/19/2023 15:00,,,,,34.5
GG1,G,1,6/19/2023 15:00,,,,,34.5
HH1,H,1,6/19/2023 15:00,,,,,34.5
AA2,A,2,6/19/2023 15:00,,,,,33.44
BB2,B,2,6/19/2023 15:00,,,,,33.44
CC2,C,2,6/19/2023 15:00,,,,,33.44
DD2,D,2,6/19/2023 15:00,,,,,33.44
EE2,E,2,6/19/2023 15:00,,,,,33.44
FF2,F,2,6/19/2023 15:00,,,,,33.44
GG2,G,2,6/19/2023 15:00,,,,,33.44
HH2,H,2,6/19/2023 15:00,,,,,33.44
AA3,A,3,6/19/2023 15:00,,,,,31.58
BB3,B,3,6/19/2023 15:00,6/20/2023 19:58,28:58:00,28.97,1.21,31.58
CC3,C,3,6/19/2023 15:00,,,,,31.58
DD3,D,3,6/19/2023 15:00,,,,,31.58
EE3,E,3,6/19/2023 15:00,,,,,31.58
FF3,F,3,6/19/2023 15:00,,,,,31.58
GG3,G,3,6/19/2023 15:00,6/20/2023 23:00,32:00:00,32.00,1.33,31.58
HH3,H,3,6/19/2023 15:00,,,,,31.58
AA4,A,4,6/19/2023 15:00,6/21/2023 20:59,53:59:00,53.98,2.25,29.78
BB4,B,4,6/19/2023 15:00,,,,,29.78
CC4,C,4,6/19/2023 15:00,,,,,29.78
DD4,D,4,6/19/2023 15:00,,,,,29.78
EE4,E,4,6/19/2023 15:00,,,,,29.78
FF4,F,4,6/19/2023 15:00,,,,,29.78
GG4,G,4,6/19/2023 15:00,,,,,29.78
HH4,H,4,6/19/2023 15:00,,,,,29.78
AA5,A,5,6/19/2023 15:00,,,,,27.82
BB5,B,5,6/19/2023 15:00,6/20/2023 19:58,28:58:00,28.97,1.21,27.82
CC5,C,5,6/19/2023 15:00,6/20/2023 19:43,28:43:00,28.72,1.20,27.82
DD5,D,5,6/19/2023 15:00,6/20/2023 19:58,,28.97,1.21,27.82
EE5,E,5,6/19/2023 15:00,,,,,27.82
FF5,F,5,6/19/2023 15:00,6/21/2023 17:12,50:12:00,50.20,2.09,27.82
GG5,G,5,6/19/2023 15:00,,,,,27.82
HH5,H,5,6/19/2023 15:00,,,,,27.82
AA6,A,6,6/19/2023 15:00,,,,,25.64
BB6,B,6,6/19/2023 15:00,6/21/2023 1:47,34:47:00,34.78,1.45,25.64
CC6,C,6,6/19/2023 15:00,6/21/2023 22:30,55:30:00,55.50,2.31,25.64
DD6,D,6,6/19/2023 15:00,,,,,25.64
EE6,E,6,6/19/2023 15:00,6/21/2023 16:42,49:42:00,49.70,2.07,25.64
FF6,F,6,6/19/2023 15:00,6/21/2023 21:14,54:14:00,54.23,2.26,25.64
GG6,G,6,6/19/2023 15:00,6/21/2023 21:29,54:29:00,54.48,2.27,25.64
HH6,H,6,6/19/2023 15:00,6/21/2023 2:03,35:03:00,35.05,1.46,25.64
AA7,A,7,6/19/2023 15:00,6/21/2023 0:16,33:16:00,33.27,1.39,23.54
BB7,B,7,6/19/2023 15:00,,,,,23.54
CC7,C,7,6/19/2023 15:00,,,,,23.54
DD7,D,7,6/19/2023 15:00,6/22/2023 2:31,59:31:00,59.52,2.48,23.54
EE7,E,7,6/19/2023 15:00,6/21/2023 23:30,56:30:00,56.50,2.35,23.54
FF7,F,7,6/19/2023 15:00,,,,,23.54
GG7,G,7,6/19/2023 15:00,,,,,23.54
HH7,H,7,6/19/2023 15:00,,,,,23.54
AA8,A,8,6/19/2023 15:00,6/22/2023 14:34,71:34:00,71.57,2.98,21.42
BB8,B,8,6/19/2023 15:00,6/22/2023 10:36,67:36:00,67.60,2.82,21.42
CC8,C,8,6/19/2023 15:00,6/22/2023 10:36,67:36:00,67.60,2.82,21.42
DD8,D,8,6/19/2023 15:00,6/22/2023 12:48,69:48:00,69.80,2.91,21.42
EE8,E,8,6/19/2023 15:00,,,,,21.42
FF8,F,8,6/19/2023 15:00,,,,,21.42
GG8,G,8,6/19/2023 15:00,6/22/2023 13:03,70:03:00,70.05,2.92,21.42
HH8,H,8,6/19/2023 15:00,6/21/2023 11:39,44:39:00,44.65,1.86,21.42
AA9,A,9,6/19/2023 15:00,,,,,19.56
BB9,B,9,6/19/2023 15:00,,,,,19.56
CC9,C,9,6/19/2023 15:00,,,,,19.56
DD9,D,9,6/19/2023 15:00,,,,,19.56
EE9,E,9,6/19/2023 15:00,,,,,19.56
FF9,F,9,6/19/2023 15:00,,,,,19.56
GG9,G,9,6/19/2023 15:00,,,,,19.56
HH9,H,9,6/19/2023 15:00,,,,,19.56
AA10,A,10,6/19/2023 15:00,6/23/2023 12:16,93:16:00,93.27,3.89,17.58
BB10,B,10,6/19/2023 15:00,6/24/2023 7:29,112:29:00,112.48,4.69,17.58
CC10,C,10,6/19/2023 15:00,6/24/2023 5:12,110:12:00,110.20,4.59,17.58
DD10,D,10,6/19/2023 15:00,,,,,17.58
EE10,E,10,6/19/2023 15:00,6/21/2023 18:58,51:58:00,51.97,2.17,17.58
FF10,F,10,6/19/2023 15:00,,,,,17.58
GG10,G,10,6/19/2023 15:00,6/24/2023 2:26,107:26:00,107.43,4.48,17.58
HH10,H,10,6/19/2023 15:00,6/24/2023 1:55,106:55:00,106.92,4.45,17.58
AA11,A,11,6/19/2023 15:00,,,,,15.42
BB11,B,11,6/19/2023 15:00,,,,,15.42
CC11,C,11,6/19/2023 15:00,,,,,15.42
DD11,D,11,6/19/2023 15:00,,,,,15.42
EE11,E,11,6/19/2023 15:00,,,,,15.42
FF11,F,11,6/19/2023 15:00,,,,,15.42
GG11,G,11,6/19/2023 15:00,,,,,15.42
HH11,H,11,6/19/2023 15:00,,,,,15.42
AA12,A,12,6/19/2023 15:00,,,,,13.26
BB12,B,12,6/19/2023 15:00,,,,,13.26
CC12,C,12,6/19/2023 15:00,,,,,13.26
DD12,D,12,6/19/2023 15:00,6/23/2023 21:37,102:37:00,102.62,4.28,13.26
EE12,E,12,6/19/2023 15:00,,,,,13.26
FF12,F,12,6/19/2023 15:00,6/24/2023 21:38,126:38:00,126.63,5.28,13.26
GG12,G,12,6/19/2023 15:00,,,,,13.26
HH12,H,12,6/19/2023 15:00,6/23/2023 15:03,96:03:00,96.05,4.00,13.26
