"","CID","Treatment","Surv.4th","Time.4th","Mass.4th","Surv.5th","Time.5th","Mass.5th","Age.death","Surv.pupa","PupateOK","Age.pupa","Mass.pupa","Surv.adult","Time.eclose","Mass.adult","Sex","Eclose.ok","Expt","Population"
"1","94","26","Y","6","12.3","Y","8","41.6","14","Y","N","14","186.3","N",NA,NA,"","","NC1","NC"
"2","97","26","Y","6","23.3","Y","8","86.4","14","Y","N","14","186","N",NA,NA,"","","NC1","NC"
"3","115","30","Y","6","11.4","Y","8","52.4","13","Y","N","13","214.6","N",NA,NA,"","","NC1","NC"
"4","125","26","Y","7","16.5","Y","9","75.2","14","Y","N","14","211.7","N",NA,NA,"","","NC1","NC"
"5","138","26","Y","6","8.6","Y","8","50.6","13","Y","N","13","211.2","N",NA,NA,"","","NC1","NC"
"6","141","30","Y","6","27.2","Y","7","47.5","12","Y","N","12","184.3","N",NA,NA,"","","NC1","NC"
"7","145","30","Y","5","7.4","Y","7","39.4","11","Y","N","11","181.7","N",NA,NA,"","","NC1","NC"
"8","155","26","Y","7","9.3","Y","11","167.8","15","Y","N","15","189.7","N",NA,NA,"","","NC1","NC"
"9","190","26","Y","8","11.2","Y","11","97.7","14","Y","N","14","188.8","N",NA,NA,"","","NC1","NC"
"10","225","30","Y","5","7.7","Y","7","43.8","11","Y","N","11","141.6","N",NA,NA,"","","NC1","NC"
"11","227","30","Y","5","6.4","Y","7","32.4","11","Y","N","11","128.7","N",NA,NA,"","","NC1","NC"
"12","128","26","Y","6","9.5","Y","9","80.2","15","Y","N","15","242.5","N",NA,NA,"","","NC1","NC"
"13","185","26","Y","7","8.2","Y","10","58.1","15","Y","N","15","193.4","N",NA,NA,"","","NC1","NC"
"14","187","26","Y","8","13.1","Y","11","41.8","15","Y","N","15","166.2","N",NA,NA,"","","NC1","NC"
"15","193","21","Y","9","10.1","Y","12","44.2","20","Y","N","20","213.1","N",NA,NA,"","","NC1","NC"
"16","194","21","Y","9","11.9","Y","12","49.7","18","Y","N","18","180.2","N",NA,NA,"","","NC1","NC"
"17","204","34","Y","7","15","Y","9","42","14","Y","N","14","113.4","N",NA,NA,"","","NC1","NC"
"18","210","26","Y","5","8.5","Y","7","33.9","11","Y","N","11","166.7","N",NA,NA,"","","NC1","NC"
"19","214","34","Y","9","9.2","Y","13","37.4","17","Y","N","17","110","N",NA,NA,"","","NC1","NC"
"20","217","30","Y","5","7.3","Y","7","41.2","13","Y","N","13","199.5","N",NA,NA,"","","NC1","NC"
"21","218","30","Y","5","8.3","Y","7","47.7","11","Y","N","11","182.3","N",NA,NA,"","","NC1","NC"
"22","221","30","Y","5","22.8","Y","6","44.1","12","Y","N","12","257.9","N",NA,NA,"","","NC1","NC"
"23","224","30","Y","6","10.7","Y","8","55.7","12","Y","N","12","151.8","N",NA,NA,"","","NC1","NC"
"24","230","21","Y","10","14.2","Y","13","61.1","21","Y","N","21","209.4","N",NA,NA,"","","NC1","NC"
"25","232","21","Y","10","6.2","Y","14","36.7","22","Y","N","22","180.5","N",NA,NA,"","","NC1","NC"
"26","235","30","Y","6","12.5","Y","8","52.22","12","Y","N","12","160.4","N",NA,NA,"","","NC1","NC"
"27","236","30","Y","6","17.5","Y","8","58.33","12","Y","N","12","173","N",NA,NA,"","","NC1","NC"
"28","239","30","Y","6","16.4","Y","8","72.62","12","Y","N","12","200.4","N",NA,NA,"","","NC1","NC"
"29","253","34","Y","7","14.5","Y","11","61.2","16","Y","N","16","136.7","N",NA,NA,"","","NC1","NC"
"30","256","21","Y","9","7.1","Y","13","33.6","21","Y","N","21","199.4","N",NA,NA,"","","NC1","NC"
"31","257","21","Y","9","9.7","Y","12","40.1","20","Y","N","20","216.1","N",NA,NA,"","","NC1","NC"
"32","258","21","Y","9","9.3","Y","12","36.8","20","Y","N","20","183","N",NA,NA,"","","NC1","NC"
"33","259","21","Y","11","15.6","Y","14","41.9","22","Y","N","22","243.9","N",NA,NA,"","","NC1","NC"
"34","260","21","Y","11","18.3","Y","14","39.1","22","Y","N","22","174","N",NA,NA,"","","NC1","NC"
"35","265","30","Y","7","12.9","Y","9","52.1","14","Y","N","14","230.8","N",NA,NA,"","","NC1","NC"
"36","266","30","Y","7","21.9","Y","9","67.5","13","Y","N","13","163.9","N",NA,NA,"","","NC1","NC"
"37","268","26","Y","7","20.3","Y","9","56.4","13","Y","N","13","187.5","N",NA,NA,"","","NC1","NC"
"38","269","26","Y","7","9.3","Y","10","31.5","16","Y","N","16","128.5","N",NA,NA,"","","NC1","NC"
"39","270","26","Y","8","36.4","Y","10","173.1","12","Y","N","12","169.4","N",NA,NA,"","","NC1","NC"
"40","271","26","Y","7","34.9","Y","9","154.7","12","Y","N","12","204.1","N",NA,NA,"","","NC1","NC"
"41","273","26","Y","7","32.9","Y","9","144.2","11","Y","N","11","155.3","N",NA,NA,"","","NC1","NC"
"42","274","21","Y","10","10.9","Y","14","42.6","21","Y","N","21","142.3","N",NA,NA,"","","NC1","NC"
"43","275","21","Y","9","9.7","Y","13","39.8","21","Y","N","21","191.2","N",NA,NA,"","","NC1","NC"
"44","276","21","Y","10","10","Y","15","33.3","23","Y","N","23","147.8","N",NA,NA,"","","NC1","NC"
"45","277","21","Y","10","9","Y","15","55.2","21","Y","N","21","202.3","N",NA,NA,"","","NC1","NC"
"46","278","21","Y","10","12","Y","13","36.4","19","Y","N","19","191.7","N",NA,NA,"","","NC1","NC"
"47","283","26","Y","7","26.1","Y","9","60.2","13","Y","N","13","195.8","N",NA,NA,"","","NC1","NC"
"48","286","26","Y","7","28.5","Y","8","34","13","Y","N","13","187","N",NA,NA,"","","NC1","NC"
"49","287","26","N",NA,NA,"Y","8","48.24","13","Y","N","13","214.2","N",NA,NA,"","","NC1","NC"
"50","289","26","N",NA,NA,"Y","8","47.85","12","Y","N","12","187.8","N",NA,NA,"","","NC1","NC"
