CID,Sib,Hatch.loc,Mean.temp,Hatch.date,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Time.dead,Ntes
001,Perrywinkle,leaf,21,6/21/2023,6/24/2023,,,,,,,,,,,,,,,,,,,,6/25/2023,4,
002,Perrywinkle,leaf,21,6/20/2023,6/25/2023,,6/29/2023,9,14.36,,7/4/2023,14,45.11,,7/12/2023,22,173.72,Y,,7/25/2023,35,,,N,7/25/2023,35,died trying to eclose
003,Perrywinkle,leaf,21,6/20/2023,6/25/2023,,6/29/2023,9,15.01,,7/2/23,12,,,7/11/2023,21,217.11,N,,,,,,,7/11/2023,21,INT
004,Perrywinkle,leaf,21,6/20/2023,6/25/2023,,6/28/2023,8,19.73,,7/1/2023,11,46.7,,7/9/2023,19,236.28,Y,,7/20/2023,30,125.13,male,Y,,,
005,Perrywinkle,leaf,21,6/20/2023,6/26/2023,,6/29/2023,9,14.27,,7/2/23,12,42.83,,7/11/2023,21,221.23,N,,,,,,,7/2/2023,12,INT
006,Perrywinkle,leaf,21,6/20/2023,6/26/2023,,,,,,7/3/2023,13,55.02,,7/10/2023,20,212.78,Y,,,,,,,7/25/2023,35,died as pupa
007,Perrywinkle,leaf,21,6/20/2023,6/26/2023,,6/29/2023,9,11.02,,7/3/2023,13,44.33,,7/11/2023,21,198.63,N,,,,,,,7/11/2023,21,INT
008,Perrywinkle,leaf,21,6/20/2023,6/26/2023,,6/29/2023,9,18.02,,7/2/23,12,45.54,,7/10/2023,20,228.51,N,,,,,,,7/10/2023,20,INT
009,Perrywinkle,leaf,21,6/20/2023,6/26/2023,,6/30/2023,10,17.48,,7/4/2023,14,53.26,,7/12/2023,22,237.11,N,,,,,,,7/12/2023,22,INT
010,Perrywinkle,leaf,21,6/20/2023,6/26/2023,,6/29/2023,9,14.74,,7/3/2023,13,67.85,,7/10/2023,20,197.78,N,,,,,,,7/10/2023,20,INT
011,Perrywinkle,leaf,21,6/20/2023,6/26/2023,,6/29/2023,9,9.93,,7/3/2023,13,33.76,,7/12/2023,22,140.91,N,,,,,,,7/12/2023,22,INT
012,Perrywinkle,leaf,21,6/20/2023,6/26/2023,,6/29/2023,9,15.52,,7/2/23,12,40.29,,7/10/2023,20,247.24,N,,,,,,,7/10/2023,20,INT
013,Perrywinkle,leaf,21,6/20/2023,6/27/2023,,6/30/2023,10,20.98,,7/3/2023,13,45.26,,7/11/2023,21,227.82,N,,,,,,,7/11/2023,21,INT
014,Perrywinkle,leaf,21,6/20/2023,6/27/2023,,7/2/23,12,27.29,,7/7/2023,17,52.36,,7/14/2023,24,190.4,Y,,,,,,,7/25/2023,35,died as pupa
