"","X","CID","Treatment","Age.death","Surv.pupa","PupateOK","Age.pupa","Mass.pupa","Expt","Population","Dev.rate"
"1",1,94,26,14,"Y","N",14,186.3,"NC1","NC",0.0714285714285714
"2",2,97,26,14,"Y","N",14,186,"NC1","NC",0.0714285714285714
"3",3,115,30,13,"Y","N",13,214.6,"NC1","NC",0.0769230769230769
"4",4,125,26,14,"Y","N",14,211.7,"NC1","NC",0.0714285714285714
"5",5,138,26,13,"Y","N",13,211.2,"NC1","NC",0.0769230769230769
"6",6,141,30,12,"Y","N",12,184.3,"NC1","NC",0.0833333333333333
"7",7,145,30,11,"Y","N",11,181.7,"NC1","NC",0.0909090909090909
"8",8,155,26,15,"Y","N",15,189.7,"NC1","NC",0.0666666666666667
"9",9,190,26,14,"Y","N",14,188.8,"NC1","NC",0.0714285714285714
"10",10,225,30,11,"Y","N",11,141.6,"NC1","NC",0.0909090909090909
"11",11,227,30,11,"Y","N",11,128.7,"NC1","NC",0.0909090909090909
"12",12,128,26,15,"Y","N",15,242.5,"NC1","NC",0.0666666666666667
"13",13,185,26,15,"Y","N",15,193.4,"NC1","NC",0.0666666666666667
"14",14,187,26,15,"Y","N",15,166.2,"NC1","NC",0.0666666666666667
"15",15,193,21,20,"Y","N",20,213.1,"NC1","NC",0.05
"16",16,194,21,18,"Y","N",18,180.2,"NC1","NC",0.0555555555555556
"17",17,204,34,14,"Y","N",14,113.4,"NC1","NC",0.0714285714285714
"18",18,210,26,11,"Y","N",11,166.7,"NC1","NC",0.0909090909090909
"19",19,214,34,17,"Y","N",17,110,"NC1","NC",0.0588235294117647
"20",20,217,30,13,"Y","N",13,199.5,"NC1","NC",0.0769230769230769
"21",21,218,30,11,"Y","N",11,182.3,"NC1","NC",0.0909090909090909
"22",22,221,30,12,"Y","N",12,257.9,"NC1","NC",0.0833333333333333
"23",23,224,30,12,"Y","N",12,151.8,"NC1","NC",0.0833333333333333
"24",24,230,21,21,"Y","N",21,209.4,"NC1","NC",0.0476190476190476
"25",25,232,21,22,"Y","N",22,180.5,"NC1","NC",0.0454545454545455
