CID,Sib Group,Date.hatch,Location,Hatched.on,Rearing.temp,Date.2nd,Date.3rd ,Date.4th,Mass.4th,Date.5th,Mass.5th,Treatment,Date.pupate,Time.pupa,Mass.pupa,Pupate.ok,Date.adult,Mass.adult,DaysPtoE,Surv.eclose,Sex,Emerge.ok,Date.dead,Mass.int,DaysHtoP
001,007,5/18/2023,Perrywinkle,diet,26C,5/20/23,5/21/23,5/23/2023,17.79,5/25/2023,76.77,16,5/29/2023,11,166,Yes,6/13/2023,83.96,15,,Female,Yes,,,11
002,007,5/17/2023,Perrywinkle,diet,26C,5/21/23,5/23/23,5/25/2023,14.2,5/27/2023,38,21,6/1/2023,15,169.57,Yes,6/12/2023,89.3,11,,Female,Yes,,,15
003,007,5/15/2023,Perrywinkle,diet,26C,5/19/23,5/21/23,5/23/2023,16.58,5/27/2023,109,26,5/30/2023,15,175.63,Yes,,,,,,,6/7/2023,,15
004,Found,5/20/2023,Perrywinkle,diet,26C,5/23/2023,5/25/2023,5/27/2023,10,5/30/2023,43,30,6/3/2023,14,164.04,Yes,6/9/2023,78.67,6,,Female,Yes,,,14
005,007,5/18/2023,Perrywinkle,diet,26C,5/21,5/24,5/27/2023,22,5/29/2023,39.8,34,6/2/2023,15,,No,,,,,,,6/2/2023,149.28,15
006,007,5/18/2023,Perrywinkle,diet,26C,5/21,5/24,5/27/2023,30,5/29/2023,50.23,16,6/2/2023,15,,No,,,,,,,6/2/2023,181.56,15
007,007,5/18/2023,Perrywinkle,diet,26C,5/21,5/24,5/27/2023,19,5/31/2023,46,21,6/4/2023,17,166.83,Yes,6/15/2023,74.77,11,,Male,Yes,,,17
008,Found,5/19/2023,Perrywinkle,diet,26C,5/25,5/27,5/29/2023,8.07,6/2/2023,32.7,26,6/10/2023,22,139.01,Yes,6/18/2023,143.29,8,,male,No,,,22
009,Found,5/19/2023,Perrywinkle,diet,26C,5/25,5/27,5/29/2023,20.5,5/31/2023,36,30,6/5/2023,17,,No,,,,,,,6/5/2023,153.23,17
010,Found,5/20/2023,Perrywinkle,diet,26C,5/23,5/25,5/29/2023,23.06,5/31/2023,41,34,6/4/2023,15,161.08,Yes,6/12/2023,71.48,8,,Male,No,,,15
011,Found,5/20/2023,Perrywinkle,diet,26C,5/23,5/25,5/29/2023,16.59,5/31/2023,38,16,6/4/2023,15,190.96,Yes,6/23/2023,88.19,19,,male,Yes,,,15
012,Found,5/20/2023,Perrywinkle,diet,26C,5/23,5/25,5/29/2023,10.11,5/31/2023,,21,6/6/2023,17,202.36,Yes,6/15/2023,99.99,9,,Male,Yes,,,17
013,016,5/21/2023,Perrywinkle,diet,26C,5/25,5/27,5/29/2023,9.35,6/2/2023,37.88,26,6/7/2023,17,144.23,Yes,6/15/2023,86.49,8,,Male,No,,,17
014,Found,5/19/2023,Perrywinkle,diet,26C,5/27,5/29,5/31/2023,9.51,6/3/2023,51.67,30,6/7/2023,19,123.11,Yes,6/13/2023,55.63,6,,Female,Yes,,,19
015,018,5/23/2023,Perrywinkle,diet,26C,5/27,5/29,5/31/2023,9,6/4/2023,46.88,34,6/9/2023,17,153.61,Yes,6/16/2023,84.58,7,,Male,No,,,17
016,007,5/23/2023,Perrywinkle,diet,26C,5/27,5/29,6/1/2023,10.22,6/4/2023,49.02,16,6/9/2023,17,176.66,Yes,6/28/2023,102.27,19,,female,No,,,17
017,007,5/23/2023,Perrywinkle,diet,26C,5/27,5/20,6/1/2023,20.4,6/3/2023,74.23,21,6/7/2023,15,185.53,Yes,6/17/2023,91.68,10,,Female,Yes,,,15
018,007,5/25/2023,Perrywinkle,diet,26C,,5/29/2023,5/31/2023,,6/3/2023,64.26,26,6/7/2023,13,183.54,Yes,6/14/2023,94.62,7,,Male,Yes,,,13
019,BC1,5/29/2023,Elysian,diet,26C,6/2,,6/4/2023,17.68,6/6/2023,52.53,30,6/10/2023,12,206.35,Yes,6/17/2023,96.77,7,,Male,Yes,,,12
020,BC1,5/31/2023,Elysian,diet,26C,6/2,,6/5/2023,11.15,6/7/2023,36.11,34,6/11/2023,11,168.58,Yes,,,,,,,6/20/2023,,11
021,BC1,5/30/2023,Elysian,diet,26C,,,6/5/2023,8.97,6/8/2023,71.89,16,6/11/2023,12,191.46,Yes,7/1/2023,92.47,20,,male,Yes,,,12
022,BC1,5/30/2023,Elysian,diet,26C,,,6/5/2023,12.85,6/7/2023,38.04,21,6/12/2023,13,220.73,Yes,6/24/2023,99.13,12,,male,Yes,,,13
023,BC1,5/29/2023,Elysian,plant,26C,,,6/5/2023,8.32,6/8/2023,53.25,26,6/12/2023,14,195.14,Yes,6/19/2023,101.86,7,,Female,Yes,,,14
024,BC1,5/29/2023,Elysian,plant,26C,,,6/5/2023,11.35,6/8/2023,67.27,30,6/11/2023,13,168.5,Yes,6/17/2023,76.87,6,,Female,,,,13
025,BC1,5/29/2023,Elysian,plant,26C,,,6/5/2023,11.36,6/8/2023,58.08,34,6/12/2023,14,193.01,Yes,6/20/2023,108.61,8,,Male,No,,,14
026,BC1,5/31/2023,Elysian,plant,26C,,,6/6/2023,15.78,6/9/2023,73.47,16,6/13/2023,13,170.02,Yes,7/1/2023,80.9,18,,Female,Yes,,,13
027,BC1,5/31/2023,Elysian,plant,26C,,,6/6/2023,21.17,6/8/2023,55.14,21,6/12/2023,12,216.36,Yes,6/23/2023,120.06,11,,male,No,,,12
028,BC1,5/30/2023,Elysian,diet,26C,,,6/6/2023,8,6/9/2023,52.74,26,6/13/2023,14,204.04,Yes,6/20/2023,107.19,7,,Female,Yes,,,14
029,BC1,5/31/2023,Elysian,diet,26C,,,6/6/2023,15.72,6/8/2023,74.62,30,6/13/2023,13,,No,,,,,,,6/13/2023,153.41,13
030,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,10.85,6/9/2023,,34,6/13/2023,12,251.82,Yes,,,,,,,6/24/2023,,12
031,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,13.77,6/9/2023,67.89,16,6/13/2023,12,,No,,,,,,,6/13/2023,192.37,12
032,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,12.29,6/9/2023,67.69,21,6/14/2023,13,147.9,Yes,6/26/2023,66.06,12,,male,No,,,13
