"","Treatment","PupateOK","Mass.pupa","Surv.adult","Time.eclose","Mass.adult","Sex","Eclose.ok","Expt","Population","Type"
"104","30","Yes","174.9","No",NA,NA,"","","NC1","NC","Larval"
"105","30","Yes","234.7","No",NA,NA,"","","NC1","NC","Larval"
"106","30","Yes","178.9","No",NA,NA,"","","NC1","NC","Larval"
"107","26","Yes","226.28","No",NA,NA,"","","NC1","NC","Larval"
"108","26","Yes","157.1","No",NA,NA,"","","NC1","NC","Larval"
"109","30","Yes","201.1","No",NA,NA,"","","NC1","NC","Larval"
"110","30","Yes","167.1","No",NA,NA,"","","NC1","NC","Larval"
"111","30","Yes","193.7","No",NA,NA,"","","NC1","NC","Larval"
"112","30","Yes","177.8","No",NA,NA,"","","NC1","NC","Larval"
"113","26","Yes","164.8","No",NA,NA,"","","NC1","NC","Larval"
"114","26","Yes","234.02","No",NA,NA,"","","NC1","NC","Larval"
"115","26","Yes","195.1","No",NA,NA,"","","NC1","NC","Larval"
"116","26","Yes","163.3","No",NA,NA,"","","NC1","NC","Larval"
"117","26","Yes","181.6","No",NA,NA,"","","NC1","NC","Larval"
"118","26","Yes","195.9","No",NA,NA,"","","NC1","NC","Larval"
"119","34","Yes","124.6","No",NA,NA,"","","NC1","NC","Larval"
"120","34","Yes","112.1","No",NA,NA,"","","NC1","NC","Larval"
"121","34","Yes","105.2","No",NA,NA,"","","NC1","NC","Larval"
"122","30","Yes","242.8","No",NA,NA,"","","NC1","NC","Larval"
"123","30","Yes","182.9","No",NA,NA,"","","NC1","NC","Larval"
"124","21","Yes","177.6","No",NA,NA,"","","NC1","NC","Larval"
"125","21","Yes","174.8","No",NA,NA,"","","NC1","NC","Larval"
"126","34","Yes","142.7","No",NA,NA,"","","NC1","NC","Larval"
"127","34","Yes","138.4","No",NA,NA,"","","NC1","NC","Larval"
"128","34","Yes","129","No",NA,NA,"","","NC1","NC","Larval"
"129","34","Yes","142.8","No",NA,NA,"","","NC1","NC","Larval"
"130","30","Yes","199.9","No",NA,NA,"","","NC1","NC","Larval"
"131","30","Yes","166.4","No",NA,NA,"","","NC1","NC","Larval"
"132","30","Yes","176.9","No",NA,NA,"","","NC1","NC","Larval"
"133","30","Yes","146.3","No",NA,NA,"","","NC1","NC","Larval"
"134","30","Yes","165.5","No",NA,NA,"","","NC1","NC","Larval"
"135","21","Yes","170.3","No",NA,NA,"","","NC1","NC","Larval"
"136","30","Yes","176.1","No",NA,NA,"","","NC1","NC","Larval"
"137","30","Yes","195.2","No",NA,NA,"","","NC1","NC","Larval"
"138","30","Yes","184.9","No",NA,NA,"","","NC1","NC","Larval"
"139","30","Yes","180.7","No",NA,NA,"","","NC1","NC","Larval"
"140","30","Yes","154.7","No",NA,NA,"","","NC1","NC","Larval"
"141","30","Yes","190.9","No",NA,NA,"","","NC1","NC","Larval"
"142","30","Yes","179.2","No",NA,NA,"","","NC1","NC","Larval"
"143","34","Yes","125.8","No",NA,NA,"","","NC1","NC","Larval"
"144","34","Yes","113.5","No",NA,NA,"","","NC1","NC","Larval"
"145","34","Yes","106.3","No",NA,NA,"","","NC1","NC","Larval"
"146","34","Yes","167.1","No",NA,NA,"","","NC1","NC","Larval"
"147","34","Yes","144.3","No",NA,NA,"","","NC1","NC","Larval"
"148","34","Yes","147.8","No",NA,NA,"","","NC1","NC","Larval"
"149","26","Yes","172.8","No",NA,NA,"","","NC1","NC","Larval"
"150","21","Yes","160.6","No",NA,NA,"","","NC1","NC","Larval"
"151","16","Yes","211.6","No",NA,NA,"","","NC1","NC","Larval"
"152","30","Yes","202.8","Yes","7","88.2","F","Yes","NC1","NC","Larval"
"153","30","Yes","246.5","Yes","7","124.4","M","Yes","NC1","NC","Larval"
