CID,Treatment,Surv.4th,Time.4th,Mass.4th,Surv.5th,Time.5th,Mass.5th,Age.death,Surv.pupa,PupateOK,Age.pupa,Mass.pupa,Surv.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Expt,Population,Dish_num,Mass.larvapupa-int,Date.hatch,Date.4th,Date.5th,Date.pupa,Date.eclose,Date.dead
1,16,,25.00,59.84,,29.00,198.6,35.00,,No,35.00,190.23,No,,,,,WA1,WA,1,190.23,11/16/2022,12/11/22,12/15/22,12/21/2022,,12/21/2022
2,21,,16.00,141.13,,18.00,199.01,22.00,,No,22.00,168.91,No,,,,,WA1,WA,1,168.91,11/16/2022,12/2/22,12/4/22,12/8/2022,,12/8/2022
3,26,,10.00,46.61,,12.00,171.07,,,Yes,14.00,171.69,Yes,8,64.96,M,Yes,WA1,WA,1,,11/16/2022,11/26/22,11/28/22,11/30/2022,12/8/2022,
4,30,,7.00,18.36,,9.00,116.33,,,Yes,13.00,173.79,Yes,7,85.72,F,Yes,WA1,WA,2,,11/16/2022,11/23/22,11/25/22,11/29/2022,12/6/2022,
5,34,,,,,,,4.00,,,,,,,,,,WA1,WA,2,,11/16/2022,,,,,11/20/22
6,16,,27.00,41.59,,31.00,170.11,36.00,,No,36.00,179.09,No,,,,,WA1,WA,2,179.09,11/16/2022,12/13/22,12/17/22,12/22/2022,,12/22/2022
7,21,,,,,,,7.00,,,,,,,,,,WA1,WA,5,,11/16/2022,,,,,11/23/22
8,26,,10.00,57.88,,12.00,164.74,,,Yes,13.00,152.66,Yes,7,68.06,F,Yes,WA1,WA,5,,11/16/2022,11/26/22,11/28/22,11/29/2022,12/6/2022,
9,30,,,,,,,3.00,,,,,,,,,,WA1,WA,5,,11/16/2022,,,,,11/19/22
10,16,,,,,,,27.00,,,,,,,,,,WA1,WA,8,,11/16/2022,,,,,12/13/22
11,34,,13.00,65.56,,16.00,110.67,19.00,,,,,,,,,,WA1,WA,8,,11/16/2022,11/29/22,12/2/22,,,12/5/22
12,21,,,,,,,7.00,,,,,,,,,,WA1,WA,9,,11/16/2022,,,,,11/23/22
13,26,,11.00,60.15,,13.00,144.8,,,Yes,14.00,135.52,Yes,8,55.84,F,Yes,WA1,WA,10,,11/16/2022,11/27/22,11/29/22,11/30/2022,12/8/2022,
14,30,,9.00,85.16,,10.00,178.22,,,Yes,12.00,164.15,Yes,7,83.81,M,Yes,WA1,WA,1,,11/17/2022,11/26/22,11/27/22,11/29/2022,12/6/2022,
15,34,,,,,,,4.00,,,,,,,,,,WA1,WA,1,,11/17/2022,,,,,11/21/22
16,16,,24.00,178.5,,27.00,171.18,63.00,,Yes,30.00,,No,,,,,WA1,WA,1,,11/17/2022,12/11/22,12/14/22,12/17/2022,,1/19/23
17,21,,,,,,,7.00,,,,,,,,,,WA1,WA,1,,11/17/2022,,,,,11/24/22
18,26,,9.00,91.64,,11.00,208.22,,,Yes,12.00,191.73,Yes,7,90.17,M,Yes,WA1,WA,2,,11/17/2022,11/26/22,11/28/22,11/29/2022,12/6/2022,
