"","CID","Treatment","Mass.pupa","Mass.larvapupa.int","DaysHtoP","DaysPtoE","PupateOK","Surv.pupa","Surv.eclos"
"1",43,26,NA,197.56,15,NA,"N","N","N"
"2",30,34,NA,105.59,15,NA,"N","N","N"
"3",2,21,NA,168.91,22,NA,"N","N","N"
"4",27,21,NA,130.1,21,NA,"N","N","N"
"5",107,21,NA,149.88,19,NA,"N","N","N"
"6",60,34,NA,62.12,21,NA,"N","N","N"
"7",32,21,NA,210.11,22,NA,"N","N","N"
"8",57,21,NA,138.93,22,NA,"N","N","N"
"9",96,16,NA,226.33,32,NA,"N","N","N"
"10",1,16,NA,190.23,35,NA,"N","N","N"
"11",26,16,NA,173.24,34,NA,"N","N","N"
"12",46,16,NA,228.86,34,NA,"N","N","N"
"13",51,16,NA,159.78,34,NA,"N","N","N"
"14",6,16,NA,179.09,36,NA,"N","N","N"
"15",31,16,NA,201.87,35,NA,"N","N","N"
"16",106,16,NA,170.89,35,NA,"N","N","N"
"17",41,16,NA,166.22,38,NA,"N","N","N"
"18",76,16,NA,187.43,39,NA,"N","N","N"
"19",21,16,NA,181.65,46,NA,"N","N","N"
"20",61,16,NA,197.15,46,NA,"N","N","N"
"21",10,16,NA,NA,NA,NA,NA,"N","N"
"22",16,16,NA,NA,30,NA,NA,"N","N"
"23",36,16,183.8,NA,34,NA,"Y","N","N"
"24",56,16,NA,NA,NA,NA,NA,"N","N"
"25",66,16,NA,NA,NA,NA,NA,"N","N"
"26",71,16,NA,NA,NA,NA,NA,"N","N"
"27",81,16,NA,NA,NA,NA,NA,"N","N"
"28",86,16,NA,NA,NA,NA,NA,"N","N"
"29",91,16,NA,NA,NA,NA,NA,"N","N"
"30",101,16,208.6,NA,35,NA,"Y","N","N"
"31",7,21,NA,NA,NA,NA,NA,"N","N"
"32",12,21,NA,NA,NA,NA,NA,"N","N"
"33",17,21,NA,NA,NA,NA,NA,"N","N"
"34",22,21,NA,NA,NA,NA,NA,"N","N"
"35",37,21,NA,NA,NA,NA,NA,"N","N"
"36",42,21,165.4,NA,23,10,"Y","Y","N"
"37",47,21,158.14,NA,19,11,"Y","Y","N"
"38",52,21,NA,NA,NA,NA,NA,"N","N"
"39",62,21,NA,NA,NA,NA,NA,"N","N"
