"","MRID","Trt","Mass.Pupa","Mass.INT","DaysHtoP","DaysPtoE","PupateOK","Mass.adult","Surv.eclos"
"1",3,16,164.65,NA,12,16,"Y",84.61,"Y"
"2",7,16,175.32,NA,13,NA,"Y",50.02,"N"
"3",12,16,177.38,NA,13,18,"Y",63.82,"Y"
"4",14,16,179.88,NA,13,13,"Y",118.88,"Y"
"5",15,16,148,NA,12,15,"Y",83.11,"Y"
"6",20,16,145.27,NA,12,14,"Y",58.32,"Y"
"7",26,16,161.66,NA,13,15,"Y",111.17,"Y"
"8",29,16,138.28,NA,11,15,"Y",87.28,"Y"
"9",41,16,144.5,NA,11,15,"Y",66.78,"Y"
"10",49,16,78.75,NA,12,NA,"Y",NA,"N"
"11",50,16,162.12,NA,13,14,"Y",145.89,"Y"
"12",57,16,158.5,NA,15,16,"Y",70.41,"Y"
"13",64,16,202.64,NA,15,NA,"Y",NA,"N"
"14",4,21,184.19,NA,13,NA,"Y",NA,"N"
"15",6,21,152.26,NA,12,NA,"Y",NA,"N"
"16",16,21,176.65,NA,12,9,"Y",90.66,"Y"
"17",22,21,166.35,NA,11,9,"Y",78.32,"Y"
"18",23,21,166.11,NA,12,9,"Y",84.95,"Y"
"19",27,21,151.82,NA,13,9,"Y",69.2,"Y"
"20",33,21,126.83,NA,13,8,"Y",97.07,"Y"
"21",38,21,186.62,NA,13,9,"Y",93.63,"Y"
"22",40,21,179.63,NA,15,NA,"Y",NA,"N"
"23",45,21,165.42,NA,11,9,"Y",75.17,"Y"
"24",51,21,173.62,NA,12,9,"Y",84.82,"Y"
"25",58,21,148.33,NA,15,8,"Y",71.49,"Y"
"26",66,21,163.68,NA,16,9,"Y",88.35,"Y"
"27",8,26,192.05,NA,13,6,"Y",112.54,"Y"
"28",10,26,168.51,NA,12,6,"Y",137.87,"Y"
"29",17,26,174.5,NA,12,6,"Y",86.37,"Y"
"30",24,26,228.25,NA,13,7,"Y",101.84,"Y"
"31",25,26,136.11,NA,12,7,"Y",69.05,"Y"
"32",30,26,138.67,NA,11,NA,"Y",55.91,"N"
"33",37,26,181.47,NA,13,6,"Y",88.33,"Y"
"34",39,26,150.77,NA,13,7,"Y",67.95,"Y"
"35",44,26,162.35,NA,11,6,"Y",78.45,"Y"
"36",47,26,160.68,NA,13,5,"Y",98.35,"Y"
"37",54,26,150.34,NA,15,6,"Y",100.55,"Y"
"38",61,26,120.41,NA,15,NA,"Y",NA,"N"
"39",67,26,224.81,NA,16,7,"Y",111.67,"Y"
"40",2,30,174.99,NA,13,6,"Y",88.4,"Y"
"41",11,30,161.97,NA,12,6,"Y",78.65,"Y"
"42",18,30,166.05,NA,12,6,"Y",80.19,"Y"
"43",21,30,171.62,NA,13,6,"Y",110.54,"Y"
"44",31,30,149.21,NA,11,7,"Y",71.27,"Y"
"45",32,30,173.32,NA,13,6,"Y",86.19,"Y"
"46",43,30,153.51,NA,11,6,"Y",65.63,"Y"
"47",46,30,205.55,NA,13,NA,"Y",NA,"N"
"48",48,30,156.48,NA,12,6,"Y",71.02,"Y"
"49",53,30,128.94,NA,13,6,"Y",61,"Y"
"50",55,30,149.68,NA,15,5,"Y",69.95,"Y"
"51",62,30,213.41,NA,15,5,"Y",122.15,"Y"
"52",68,30,124.97,NA,16,5,"Y",74.98,"Y"
"53",1,34,172.48,NA,12,NA,"Y",NA,"N"
"54",5,34,146.19,NA,13,NA,"Y",NA,"N"
"55",9,34,165.08,NA,13,NA,"Y",NA,"N"
"56",13,34,123.48,NA,12,9,"Y",72.89,"Y"
"57",19,34,120.84,NA,12,8,"Y",67.03,"Y"
"58",28,34,180.59,NA,13,NA,"Y",NA,"N"
"59",34,34,151.93,NA,13,NA,"Y",NA,"N"
"60",42,34,153.1,NA,11,7,"Y",87.29,"Y"
"61",52,34,187.97,NA,13,NA,"Y",NA,"N"
"62",56,34,188.4,NA,15,NA,"Y",NA,"N"
"63",60,34,155.23,NA,13,NA,"Y",NA,"N"
"64",63,34,151.5,NA,15,NA,"Y",NA,"N"
"65",65,34,109.69,NA,16,NA,"Y",NA,"N"
"66",35,NA,NA,155.74,13,NA,"N",NA,"N"
"67",36,NA,NA,87.03,13,NA,"N",NA,"N"
"68",59,NA,NA,148.89,15,NA,"N",NA,"N"
