CID,Treatment,Date.dead,km_notes,Dish_num,Date.hatch,Date.2nd,Date.3rd,Date.4th,Mass.4th,Date.5th,Mass.5th,Date.pupa,Date.cup,Mass.pupa,Date.larvapupa-int,Mass.larvapupa-int,Date.eclose,Sex,Mass.adult,Date.dead,Instar.dead,DaysHtoP,DaysPtoE,Notes
43,26,,,7,11/17/2022,11/21/22,11/26/22,11/29/22,126.93,12/1/22,208.03,,,,12/2/2022,197.56,,,,,,15,,
30,34,,,5,11/17/2022,11/20/22,11/24/22,11/28/22,81.47,11/29/22,115.63,,,,12/2/2022,105.59,,,,,,15,,
2,21,,,1,11/16/2022,11/24/22,11/27/22,12/2/22,141.13,12/4/22,199.01,,,,12/8/2022,168.91,,,,,,22,,Placed in temp chamber before I button data collected 
27,21,,,4,11/17/2022,11/22/22,11/27/22,11/29/22,42.38,12/2/22,159.2,,,,12/8/2022,130.1,,,,,,21,,
107,21,,,7,11/19/2022,11/21/22,11/27/22,11/29/22,37.6,12/2/22,163.81,,,,12/8/2022,149.88,,,,,,19,,
60,34,12/8/22,,9,11/17/2022,11/20/22,11/27/22,12/1/22,72.67,12/4/22,162.51,,,,12/8/2022,62.12,,,,,,21,,
32,21,,,5,11/17/2022,11/26/22,12/2/22,12/4/22,151,12/6/22,243.89,,,,12/9/2022,210.11,,,,,,22,,
57,21,,,9,11/17/2022,11/24/22,12/2/22,12/4/22,95.13,12/6/22,169.23,,,,12/9/2022,138.93,,,,,,22,,
96,16,,,7,11/18/2022,12/5/22,12/10/22,12/13/22,152.22,12/15/22,234.45,,,,12/20/2022,226.33,,,,,,32,,
1,16,,,1,11/16/2022,11/30/22,12/8/22,12/11/22,59.84,12/15/22,198.6,,,,12/21/2022,190.23,,,,,,35,,Placed in temp chamber before I button data collected 
26,16,,,4,11/17/2022,12/5/22,12/11/22,12/13/22,85.65,12/15/22,159.96,,,,12/21/2022,173.24,,,,,,34,,
46,16,,,8,11/17/2022,11/22/22,12/6/22,12/11/22,56.76,12/15/22,207.85,,,,12/21/2022,228.86,,,,,,34,,
51,16,,,8,11/17/2022,11/23/22,12/11/22,12/13/22,77.08,12/15/22,165.23,,,,12/21/2022,159.78,,,,,,34,,
6,16,12/22/22,,2,11/16/2022,12/3/22,12/9/22,12/13/22,41.59,12/17/22,170.11,,,,12/22/2022,179.09,,,,,,36,,Placed in temp chamber before I button data collected 
31,16,,,5,11/17/2022,12/5/22,12/13/22,12/15/22,158.09,12/17/22,222.34,,,,12/22/2022,201.87,,,,,,35,,
106,16,,,11,11/18/2022,12/1/11,12/10/22,12/15/22,81.89,12/17/22,150.08,,,,12/23/2022,170.89,,,,,,35,,
41,16,,,7,11/17/2022,12/5/22,12/9/22,12/15/22,59.99,12/17/22,107.65,,,,12/25/2022,166.22,,,,,,38,,
76,16,12/27/22,,2,11/18/2022,12/8/22,12/11/22,12/18/22,97.03,12/20/22,174.56,,,,12/27/2022,187.43,,,,,,39,,
21,16,,,3,11/17/2022,12/10/22,12/15/22,12/20/22,84.48,12/23/22,169.44,,,,1/2/2023,181.65,,,,,,46,,
61,16,,,9,11/17/2022,12/11/22,12/17/22,12/22/22,39.92,12/25/22,125.68,,,,1/2/2023,197.15,,,,,,46,,
10,16,12/13/22,,8,11/16/2022,12/3/22,12/11/22,,,,,,,,,,,,,12/13/22,3,,,Placed in temp chamber before I button data collected 
16,16,,,1,11/17/2022,11/25/22,12/8/22,12/11/22,178.5,12/14/22,171.18,12/17/2022,12/19/22,,,,,,,1/19/23,P,30,,died as pupa
36,16,12/3/22,,6,11/17/2022,11/30/22,12/13/22,12/15/22,145.67,12/17/22,207.17,12/21/2022,12/23/22,183.8,,,,,,1/2/23,P,34,,died as pupa
56,16,11/25/22,,9,11/17/2022,,,,,,,,,,,,,,,11/25/22,1,,,
66,16,11/25/22,,10,11/17/2022,,,,,,,,,,,,,,,11/25/22,1,,,
71,16,11/24/22,,1,11/18/2022,,,,,,,,,,,,,,,11/24/22,1,,,
81,16,11/25/22,,3,11/18/2022,,,,,,,,,,,,,,,11/25/22,1,,,
86,16,11/19/22,,4,11/18/2022,,,,,,,,,,,,,,,11/19/22,1,,,
91,16,11/21/22,,5,11/18/2022,,,,,,,,,,,,,,,11/21/22,1,,,
101,16,,,9,11/18/2022,11/30/22,12/8/22,12/13/22,53.44,12/17/22,218.36,12/23/2022,12/25/22,208.6,,,,,,1/19/23,P,35,,died as pupa
