CID,Treatment,Date.dead,Dish_num,Date.hatch,Date.2nd,Date.3rd,Date.4th,Mass.4th,Date.5th,Mass.5th,Date.pupa,Date.cup,Mass.pupa,Date.larvapupa-int,Mass.larvapupa-int,Date.eclose,Sex,Mass.adult,Date.dead,Instar.dead,DaysHtoP,DaysPtoE,Notes
1056,16,,39,12/1/2022,12/11/22,12/17/22,12/23/22,79.33,,,,,,1/2/23,167.52,,,,,,32,,
1071,16,,50,12/1/2022,12/11/22,12/18/22,12/22/22,82.1,12/25/22,196.94,,,,1/2/23,198.61,,,,,,32,,
1091,16,,42,12/2/2022,12/11/22,12/17/22,12/22/22,51.72,,,,,,1/2/23,213.09,,,,,,31,,
1106,16,,16,12/2/2022,12/15/22,12/17/22,12/24/22,88.9,12/27/22,195.94,,,,1/2/23,211.98,,,,,,31,,
1131,16,,31,12/2/2022,12/15/22,12/22/22,12/25/22,48.29,1/2/23,143.22,,,,1/6/23,176.88,,,,,,35,,
1136,16,,30,12/2/2022,12/13/22,12/23/22,12/25/22,88.34,12/27/22,145.91,,,,1/6/23,189.45,,,,,,35,,
1001,16,1/11/23,47,11/30/2022,12/15/22,12/22/22,12/26,85.44,12/30/22,152.98,1/2/23,1/4/23,151.18,,,,,,1/11/23,P,33,,died as pupa
1006,16,,43,11/30/2022,12/15/22,12/22/22,12/25/22,113.6,12/27/22,228.07,1/2/23,1/4/23,200.46,,,,,,,,33,,
1011,16,,25,11/30/2022,12/11/22,12/17/22,12/24,130.35,12/27/22,219.71,12/30/22,1/1/23,187.19,,,1/16/2023,M,72.38,,,30,,
1016,16,,12,12/1/2022,12/17/22,12/24/22,12/29/22,140.28,1/2/23,221.89,1/6/23,1/8/23,186.12,,,,,,,,36,,
1021,16,,33,12/1/2022,12/15/22,12/22/22,12/25/22,68.54,12/30/22,243.22,1/2/23,1/4/23,140.09,,,,,,,,32,,
1026,16,,28,12/1/2022,12/15/22,12/22/22,12/25/22,48.97,,,,,,,,,,,1/2/23,5,,,died bc of handling
1031,16,,27,12/1/2022,12/15/22,12/17/22,12/24/22,95.33,12/27/22,201.15,1/2/23,1/4/23,138.07,,,,,,1/16/23,P,32,,
1036,16,,22,12/1/2022,12/15/22,12/17/22,12/22/22,114.84,12/25/22,224.58,12/29/22,12/31/22,192.35,,,,,,1/19/23,P,28,,
1041,16,,23,12/1/2022,12/11/22,12/17/22,12/22/22,58.57,12/25/22,172.1,12/29,12/31,151.14,,,,,,1/12/23,P,28,,died as pupa
1046,16,,16,12/1/2022,12/13/22,12/17/22,12/24/22,142.13,12/27/22,,1/2/23,1/4/23,175.91,,,,,,1/16/23,P,32,,
1051,16,,24,12/1/2022,12/11/22,12/17/22,12/24/22,121.8,12/27/22,201.56,12/30/22,1/1/23,188.31,,,1/16/2023,M,69.36,,,29,,
